-------- ENCODAGE MIRE ORIGINALE --------
-------- ((x,y),(codage_voisin_0_degree),(codage_voisin_90_degree),(codage_voisin_180_degree),(codage_voisin_270_degree)) --------
(287, 31), 222110NNN, 2110NNN22, 20NNN2211, 2NN22110N
(191, 31), 210111NNN, 2111NNN10, 21NNN1011, 2NN10111N
(95, 31), 201002NNN, 2002NNN01, 22NNN0100, 2NN01002N
(63, 31), 220021NNN, 2021NNN20, 21NNN2002, 2NN20021N


-------- ENCODAGE MIRE MODIFIEE --------
-------- ((x,y),(codage_voisin)) --------

(289, 450), 02NNN22N0
(332, 442), 0NNN2020N
(315, 440), 002N02022
(262, 432), 02N2N2222
(152, 432), 0NNNN1121
(223, 426), 00NN2N002
(307, 424), 020N2N222
(53, 419), 02NNN2010
(231, 412), 022020122
(210, 408), 000NN0212
(85, 406), 01N201210
(188, 405), 00NN22121
(345, 399), 0NN202N00
(116, 393), 01N101212
(373, 388), 0NNN0221N
(269, 385), 022222022
(62, 385), 012120120
(34, 380), 0002NNN22
(95, 371), 01N102220
(349, 365), 022221101
(258, 364), 020221200
(155, 362), 011210111
(129, 357), 002102011
(289, 351), 022000100
(360, 349), 012011121
(268, 346), 002012112
(409, 341), 0NNN1120N
(321, 338), 011N02211
(222, 335), 021212011
(353, 326), 01N221000
(422, 324), 0NNN1120N
(143, 317), 010120021
(386, 313), 01N100000
(114, 310), 002221N02
(206, 309), 010201022
(366, 306), 00N012021
(418, 300), 02N001N22
(301, 287), 0122012N1
(122, 287), 020010N11
(433, 280), 02N001021
(188, 279), 02012120N
(90, 279), 000121N2N
(252, 272), 0112211N2
(314, 264), 010012NN0
(372, 257), 02101012N
(198, 255), 01201212N
(350, 249), 000100022
(264, 248), 021N11212
(63, 244), 0221NNN01
(409, 243), 0201122N2
(327, 241), 0002221N2
(69, 215), 01N0NNN1N
(482, 212), 01N120NNN
(403, 209), 0122222NN
(316, 205), 021N10NN1
(463, 203), 001212NNN
(289, 195), 001N20NN1
(261, 183), 00N221NN0
(303, 165), 010N01NNN
(200, 159), 0122N0011
(346, 147), 022NNNNNN
(166, 145), 002121001
(91, 115), 0N21NNN20
(177, 110), 0N001N220
(140, 93), 0N010N122
(225, 88), 0NN10NNNN
(135, 413), 12NN21212
(110, 410), 11N220201
(58, 402), 10N022201
(141, 397), 12N110221
(218, 393), 120002122
(90, 389), 102010201
(172, 385), 120212011
(122, 376), 120010100
(204, 372), 121211121
(180, 367), 112120112
(330, 361), 10N222020
(236, 359), 102212020
(379, 353), 1NN000200
(188, 349), 121101120
(341, 344), 100220111
(163, 343), 111001N12
(42, 340), 1202NNN22
(136, 338), 1100N2N01
(391, 336), 10N001110
(372, 331), 11N210121
(278, 327), 120021121
(171, 323), 12111021N
(255, 322), 1102012N2
(333, 320), 101222N00
(404, 318), 10NN1001N
(231, 315), 112020220
(84, 303), 101222N00
(179, 302), 102102102
(266, 301), 121212010
(399, 293), 10N102201
(324, 294), 120220NN0
(359, 280), 121111022
(277, 279), 1021200N0
(414, 273), 102112N12
(337, 272), 111000010
(160, 271), 101201220
(57, 271), 1022NNN02
(467, 266), 1NNN0220N
(226, 264), 1022N0210
(129, 263), 1120N2122
(483, 244), 1NNN120NN
(237, 239), 1001N2221
(104, 226), 121200112
(501, 221), 1NNN20NNN
(276, 222), 12N012NN0
(425, 219), 1221102N0
(178, 219), 1202N2122
(112, 197), 1221N112N
(356, 188), 122101NNN
(76, 185), 1110NNN12
(420, 182), 122222NNN
(156, 178), 1212N210N
(331, 177), 110N00NN2
(231, 172), 102220N1N
(275, 153), 100NNNN2N
(83, 151), 1211NNN0N
(244, 139), 1NN101N12
(319, 134), 1N2NNNNNN
(130, 131), 1012NN200
(212, 125), 11N00NN01
(258, 105), 1NN11NNNN
(109, 33), 1N02NNNNN
(322, 454), 2NNNN202N
(306, 452), 22NNN0020
(254, 445), 20NNN2002
(195, 437), 2NNNN10N0
(280, 434), 200N20220
(341, 429), 2NNN0220N
(325, 427), 22020022N
(105, 425), 2NNNN2111
(80, 422), 22NNN0001
(158, 417), 22N0N1020
(251, 415), 200N00222
(26, 415), 20NNNNN21
(334, 413), 2N220N200
(165, 401), 20N211212
(260, 400), 2N2202202
(30, 398), 21N2NNN00
(327, 396), 202002212
(240, 397), 2220N1220
(289, 389), 220220222
(196, 389), 210021112
(355, 385), 20N22201N
(249, 381), 202212102
(148, 380), 212101001
(319, 377), 222022210
(227, 376), 222121210
(299, 373), 222202021
(367, 369), 2N0N20000
(279, 368), 222020002
(67, 366), 200002N22
(38, 361), 2210NNN12
(310, 356), 212N20211
(212, 354), 212111202
(101, 352), 20102212N
(72, 346), 221221N2N
(245, 341), 200120111
(300, 333), 202N01201
(108, 332), 2112N2000
(197, 329), 202111101
(78, 325), 220212N10
(47, 319), 2211NNN21
(312, 314), 210212022
(289, 308), 2220111N0
(436, 306), 2NNN1012N
(345, 300), 201121222
(241, 294), 211102101
(151, 295), 211000110
(52, 295), 2102NNN10
(451, 286), 2NNN0022N
(379, 286), 210021202
(216, 287), 221010010
(393, 265), 210110110
(448, 258), 21N21210N
(289, 256), 200N00NNN
(97, 253), 21N010N12
(429, 251), 222020022
(169, 246), 200112212
(465, 236), 21N2222N1
(137, 236), 22112112N
(387, 234), 20N0021NN
(302, 232), 202101NN2
(208, 229), 21102122N
(445, 228), 2210011N0
(365, 225), 2212021N0
(341, 215), 222220NNN
(249, 212), 2101N2100
(146, 208), 21221121N
(219, 201), 221212010
(380, 199), 2001N10N1
(442, 193), 2022N1NNN
(189, 190), 2221N1001
(397, 171), 2110NNNNN
(121, 165), 212111010
(372, 159), 2N0010NNN
(289, 119), 2NN11NNNN
(100, 76), 2N10NNN12
(189, 71), 2NN00NNNN
(150, 53), 2N002NNNN


-------- MATRICE DE TRANSFORMATION --------
[[ 6.19594124e-01  1.05619122e-01 -4.23409179e+01]
 [-2.97676045e-01  5.72059599e-01  4.19986264e+01]
 [-3.28391015e-04 -1.02223453e-03  1.00000000e+00]]
